id,type,sku,name,productCategory,productImage,sizes,colors,stock,instock,description,discountedPrice,price,discount,newLaunch,templateKey,productDetails,materialName,sleeves,neckType,fabricType,packaging,washCare,ocassions,waistBand,fit
30,variable,AW20DK20MR,Front Open Embroidered Kurta Dhoti for Boys- Maroon,boys,productimages/AW20DK20MR-3.JPG,"10-(0-3 Months),12-(3-6 Months),14-(6-12 Months),16-(1-2 Years),18-(2-3 Years)",maroon,1,TRUE,Front Open Embroidered Kurta Dhoti for Boys- Maroon,45,60,,TRUE,products-page,BownBee Full Sleeves Front Open Embroidered Kurta With Dhoti - Maroon,Cotton,Full Sleeves,V neck,Woven,Single,Dryclean,Ethnic,Elastic,Regular
31,variable,SS21KP15YW,Printed Jacket Kurta Pajama Set- Yellow,boys,productimages/SS21KP15YW-1.JPG,"1-(1-2 Years),2-(2-3 Years),3-(3-4 Years),4-(4-5 Years),5-(5-6 Years),6-(6-7 Years),7-(7-8 Years),8-(8-9 Years),9-(9-10 Years),10-(10-11 Years)",yellow,1,TRUE,Printed Jacket Kurta Pajama Set- Yellow,50,70,,TRUE,products-page,BownBee Full Sleeves Printed Attached Jacket Kurta & Pyjama Set - Yellow,Cotton,Full Sleeves,Round Neck,Woven,With Jacket,Dryclean,Ethnic,Elastic,Regular
32,variable,SS21KP13WH,Stand Collar Cotton Kurta pajama-White,boys,productimages/SS21KP13WH-1.JPG,"2-(2-3 Years),3-(3-4 Years),4-(4-5 Years),5-(5-6 Years),6-(6-7 Years),7-(7-8 Years),8-(8-9 Years),9-(9-10 Years),10-(10-11 Years)",white,1,TRUE,Stand Collar Cotton Kurta pajama-White,40,55,,TRUE,products-page,BownBee Stand Collar Full Sleeves Kurta & Pajama Set - White,Cotton,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
33,variable,HL20KP01RD,Stand Collar Cotton Kurta pajama-Red,boys,productimages/HL20KP01RD-2.JPG,"1-(1-2 Years),3-(3-4 Years),4-(4-5 Years),5-(5-6 Years),6-(6-7 Years),7-(7-8 Years),8-(8-9 Years),9-(9-10 Years),10-(10-11 Years)",red,1,TRUE,Stand Collar Cotton Kurta pajama-Red,40,55,,TRUE,products-page,BownBee Solid Full Sleeves Kurta & Pyjama - Red,Cotton,Full Sleeves,Mandarin Collar,Woven,With Pajama,Dryclean,Ethnic,Elastic,Regular
34,variable,HL20KP01GR,Stand Collar Cotton Kurta pajama-Green,boys,productimages/HL20KP01GR-1.JPG,"1-(1-2 Years),2-(2-3 Years),3-(3-4 Years),4-(4-5 Years),5-(5-6 Years),6-(6-7 Years),7-(7-8 Years),8-(8-9 Years),9-(9-10 Years),10-(10-11 Years)",green,1,TRUE,Stand Collar Cotton Kurta pajama-Green,40,55,,TRUE,products-page,BownBee Solid Full Sleeves Kurta & Pyjama - Green,Cotton,Full Sleeves,Mandarin Collar,Woven,With Pajama,Dryclean,Ethnic,Elastic,Regular
24,variable,HL20KP03GR,Attached Jacket Kurta Pajama For Boys-Green,boys,productimages/HL20KP03GR-4.JPG,"1-(1-2 Years),3-(3-4 Years),5-(5-6 Years),6-(6-7 Years),8-(8-9 Years),9-(9-10 Years),10-(10-11 Years),",green,1,TRUE,Attached Jacket Kurta Pajama For Boys-Green,55,60,,TRUE,products-page,BownBee Full Sleeves Kurta With Attached Flower Printed Jacket & Pajama - Blue,Cotton,Full Sleeves,Collar,Woven,Single,Dryclean,Sibling,Elastic,Regular
60,variable,SW20LC01GR,Ruffle Sleeve Collar Choli With Floral Lehenga- Green,girls,productimages/SW20LC01GR-4.JPG,"16-(6-12 Months),18-(1-2 Years),24-(4-5 Years),26-(5-6 Years)",green,1,TRUE,Ruffle Sleeve Collar Choli With Floral Lehenga- Green,65,90,,TRUE,products-page,BownBee Ruffle Short Sleeves Choli With Floral Print Lehenga & Dupatta - Blue,Silk Blend,Half sleeves,Round Neck,Woven,With Dupatta,Dryclean,Sibling,Elastic,Regular
2,variable,HL20KP03YL,Attached Jacket Kurta Pajama For Boys-Yellow,boys,productimages/HL20KP03YL-2.JPG,"1-(1-2 Years),5-(5-6 Years)",yellow,1,TRUE,Attached Jacket Kurta Pajama For Boys-Yellow,55,60,,TRUE,products-page,BownBee Full Sleeves Kurta With Attached Flower Printed Jacket & Pajama - Yellow,Cotton,Full Sleeves,Collar,Woven,Single,Dryclean,Sibling,Elastic,Regular
42,variable,SW20LC01YL,Ruffle Sleeve Collar Choli With Floral Lehenga- Yellow,girls,productimages/SW20LC01YL-2.JPG,"16-(6-12 Months),18-(1-2 Years),28-(6-7 Years)",yellow,1,TRUE,Ruffle Sleeve Collar Choli With Floral Lehenga- Yellow,65,90,,TRUE,products-page,BownBee Ruffle Short Sleeves Choli With Floral Print Lehenga & Dupatta - Yellow,Silk Blend,Half sleeves,Round Neck,Woven,With Dupatta,Dryclean,Sibling,Elastic,Regular
29,variable,DW20DK18NB,Front Open Cotton Full Sleeve Kurta with Dhoti- Navy Blue,boys,productimages/DW20DK18NB-3.JPG,"12-(3-6 Months),16-(1-2 Years),18-(2-3 Years),22-(4-5 Years),24-(5-6 Years)",navyblue,1,TRUE,Front Open Cotton Full Sleeve Kurta with Dhoti- Navy Blue,45,60,,TRUE,products-page,BownBee Full Sleeves Solid Color Kurta With Leheriya Dhoti - Navy Blue,Cotton,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Sibling,Elastic,Regular
